account,name,link,keywords,language
@vdeschaintre@mastodon.gamedev.place,Valentin Deschaintre,https://mastodon.gamedev.place/@vdeschaintre, ,  
@morgan3d@mastodon.gamedev.place,Morgan McGuire,https://mastodon.gamedev.place/@morgan3d, , 
@silviasellan@mastodon.online,Silvia Sellán,https://mastodon.online/@silviasellan, , 
@ssteinberg@mastodon.gamedev.place,Shlomi Steinberg,https://mastodon.gamedev.place/@ssteinberg, , 
@yagiz@fediscience.org,Yağız Aksoy,https://fediscience.org/@yagiz, , 
@erwincoumans@sigmoid.social,Erwin Coumans,https://sigmoid.social/@erwincoumans, , 
@ppsloan@mastodon.gamedev.place,Peter Pike Sloan,https://mastodon.gamedev.place/@ppsloan, , 
@mvandepanne@sigmoid.social,Michiel van de Panne,https://sigmoid.social/@mvandepanne, , 
@MomentsInGraphics@mastodon.gamedev.place,Christoph Peters,https://mastodon.gamedev.place/@MomentsInGraphics,,
@mattpharr@mastodon.gamedev.place,Matt Pharr,https://mastodon.gamedev.place/@mattpharr,,
@rook@mstdn.ca,Rook Bridson,https://mstdn.ca/@rook,,
@cek@mastodon.gamedev.place,Craig Kolb,https://mastodon.gamedev.place/@cek,,
@TheodoreKim@mastodon.online,Theodore Kim,https://mastodon.online/@TheodoreKim,,
@stephenspencer@mastodon.acm.org,Stephen Spencer,https://mastodon.acm.org/@stephenspencer,,
@sylefeb@mastodon.online,Sylvain Lefebvre,https://mastodon.online/@sylefeb,, 
@BrunoLevy01@fosstodon.org,Bruno Levy,https://fosstodon.org/@BrunoLevy01,,
@nholzschuch@piaille.fr,Nicholas Holzschuch,https://piaille.fr/@nholzschuch,,
@nmwsharp@sigmoid.social,Nicholas Sharp,https://sigmoid.social/@nmwsharp,,
@orangeduck@mastodon.gamedev.place,Daniel Holden,https://mastodon.gamedev.place/@orangeduck,,
@yig@oulipo.social,Yotam Gingold,https://oulipo.social/@yig,,
@anaserrano@techhub.social,Ana Serrano,https://techhub.social/@anaserrano,,
@rms80@mastodon.gamedev.place,Ryan Schmidt,https://mastodon.gamedev.place/@rms80,,
@andrewwillmott@mastodon.gamedev.place,Andrew J. Willmott,https://mastodon.gamedev.place/@andrewwillmott,,
@icare3d@mastodon.gamedev.place,Cyrill Crassin,https://mastodon.gamedev.place/@icare3d,,
@aaronhertzmann@fediscience.org,Aaron Hertzmann,https://fediscience.org/@aaronhertzmann,,
@magrawala@fediscience.org,Maneesh Agrawala,https://fediscience.org/@magrawala,,
@yiningkarlli@mastodon.gamedev.place,Yining Karl Li,https://mastodon.gamedev.place/@yiningkarlli,,
@wjarosz@mathstodon.xyz,Wojciech Jarosz,https://mathstodon.xyz/@wjarosz,,
@omershapira@mastodon.gamedev.place,Omer Shapira,https://mastodon.gamedev.place/@omershapira,,
@JSMuellerRoemer@c.im,J.S. Mueller-Roemer,https://c.im/@JSMuellerRoemer,,
@marcosalvi@sigmoid.social,Marco Salvi,https://sigmoid.social/@marcosalvi,,
@self_shadow@graphics.social,Stephen Hill,https://graphics.social/@self_shadow,,
@narain@mathstodon.xyz,Rahul Narain,https://mathstodon.xyz/@narain,,
@eugenedeon@mastodon.nz,Eugene d'Eon,https://mastodon.nz/@eugenedeon,,
@tpfaff@sigmoid.social,Tobias Pfaff,https://sigmoid.social/@tpfaff,,
@csk@mathstodon.xyz,Craig Kaplan,https://mathstodon.xyz/@csk,,
@demofox@mastodon.gamedev.place,Alan Wolfe,https://mastodon.gamedev.place/@demofox,,
@reedbeta@mastodon.gamedev.place,Nathan Reed,https://mastodon.gamedev.place/@reedbeta,,
@wjakob@fosstodon.org,Wenzel Jakob,https://fosstodon.org/@wjakob,,
@keenancrane@mathstodon.xyz,Keenan Crane,https://mathstodon.xyz/@keenancrane,,
@AdamCoffman@mathstodon.xyz,Adam Coffman,https://mathstodon.xyz/@AdamCoffman,,
@djourdan@mastodon.online,David Jourdan,https://mastodon.online/@djourdan,,
@topher_batty@mastodon.acm.org,Christopher Batty,https://mastodon.acm.org/@topher_batty,,
@das@mastodon.gamedev.place,Dario Seyb,https://mastodon.gamedev.place/@das,,
@anadodik@mathstodon.xyz,Ana Dodik,https://mathstodon.xyz/@anadodik,,
@BartWronski@mastodon.gamedev.place,Bart Wronski,https://mastodon.gamedev.place/@BartWronski,,
@alecjacobson@mastodon.social,Alec Jacobson,https://mastodon.social/@alecjacobson,,
